Date,Close
2004-01-02,"1,108.48"
2004-01-05,"1,122.22"
2004-01-06,"1,123.67"
2004-01-07,"1,126.33"
2004-01-08,"1,131.92"
2004-01-09,"1,121.86"
2004-01-12,"1,127.23"
2004-01-13,"1,121.22"
2004-01-14,"1,130.52"
2004-01-15,"1,132.05"
2004-01-16,"1,139.83"
2004-01-19,"1,139.83"
2004-01-20,"1,138.77"
2004-01-26,"1,155.37"
2004-01-27,"1,144.05"
2004-01-28,"1,128.48"
2004-01-29,"1,134.11"
2004-01-30,"1,131.13"
2004-02-02,"1,135.26"
2004-02-03,"1,136.03"
2004-02-04,"1,126.52"
2004-02-05,"1,128.59"
2004-02-06,"1,142.76"
2004-02-09,"1,139.81"
2004-02-10,"1,145.54"
2004-02-11,"1,157.76"
2004-02-12,"1,152.11"
2004-02-13,"1,145.81"
2004-02-16,"1,145.81"
2004-02-17,"1,156.99"
2004-02-18,"1,151.82"
2004-02-19,"1,147.06"
2004-02-20,"1,144.11"
2004-02-23,"1,140.99"
2004-02-24,"1,139.09"
2004-02-25,"1,143.67"
2004-02-26,"1,144.91"
2004-02-27,"1,144.94"
2004-03-02,"1,149.10"
2004-03-03,"1,151.03"
2004-03-04,"1,154.87"
2004-03-05,"1,156.86"
2004-03-08,"1,147.20"
2004-03-09,"1,140.58"
2004-03-10,"1,123.89"
2004-03-11,"1,106.78"
2004-03-12,"1,120.57"
2004-03-15,"1,104.49"
2004-03-16,"1,110.70"
2004-03-17,"1,123.75"
2004-03-18,"1,122.31"
2004-03-19,"1,109.74"
2004-03-22,"1,095.44"
2004-03-23,"1,093.90"
2004-03-24,"1,091.33"
2004-03-25,"1,109.19"
2004-03-26,"1,108.03"
2004-03-29,"1,122.47"
2004-03-30,"1,127.00"
2004-03-31,"1,126.21"
2004-04-01,"1,132.17"
2004-04-02,"1,141.81"
2004-04-06,"1,148.17"
2004-04-07,"1,140.51"
2004-04-08,"1,139.33"
2004-04-09,"1,139.32"
2004-04-12,"1,145.20"
