Date,Close
2004-01-02,824.1
2004-01-05,824.1
2004-01-06,823.43
2004-01-07,827.07
2004-01-08,824.15
2004-01-09,845.27
2004-01-12,850.79
2004-01-13,848.43
2004-01-14,849.62
2004-01-15,845.66
2004-01-16,847.95
2004-01-19,856.8
2004-01-20,861.37
2004-01-26,869.04
2004-01-27,863.03
2004-01-28,859.59
2004-01-29,853.47
2004-01-30,848.5
2004-02-02,854.89
2004-02-03,839.87
2004-02-04,835.5
2004-02-05,840.92
2004-02-06,850.23
2004-02-09,864.77
2004-02-10,866.8
2004-02-11,876.34
2004-02-12,877.95
2004-02-13,882.18
2004-02-16,881.28
2004-02-17,884.8
2004-02-18,877.1
2004-02-19,881.65
2004-02-20,877.49
2004-02-23,877.52
2004-02-24,864.59
2004-02-25,866.87
2004-02-26,864.86
2004-02-27,883.42
2004-03-02,899.21
2004-03-03,895.81
2004-03-04,907.43
2004-03-05,905.38
2004-03-08,900.1
2004-03-09,891.58
2004-03-10,876.02
2004-03-11,869.93
2004-03-12,848.8
2004-03-15,852.26
2004-03-16,850.13
2004-03-17,872.38
2004-03-18,872.82
2004-03-19,883.33
2004-03-22,863.69
2004-03-23,866.17
2004-03-24,861.72
2004-03-25,853.38
2004-03-26,863.95
2004-03-29,874.67
2004-03-30,873.46
2004-03-31,880.5
2004-04-01,882.75
2004-04-02,883.69
2004-04-06,906.19
2004-04-07,909.93
2004-04-08,916.86
2004-04-09,905.44
2004-04-12,918.86
2004-04-13,917.63
2004-04-14,916.31
2004-04-16,898.88
2004-04-19,902.1
2004-04-20,918.9
2004-04-21,929.95
2004-04-22,924.01
2004-04-23,936.06
2004-04-26,919.74
2004-04-27,915.47
2004-04-28,901.83
2004-04-29,875.41
2004-04-30,862.84
2004-05-03,866.11
2004-05-04,867.48
2004-05-06,837.68
2004-05-07,838.74
2004-05-10,790.68
2004-05-11,791.02
2004-05-12,817.09
2004-05-13,790.13
2004-05-14,768.46
2004-05-17,728.98
2004-05-18,741.99
2004-05-19,777.95
2004-05-20,767.79
2004-05-21,786.36
2004-05-24,799.64
2004-05-25,784.06
2004-05-27,802.46
2004-05-28,816.51
2004-05-31,803.84
2004-06-01,815.77
2004-06-02,804.39
2004-06-03,770.06
2004-06-04,780.74
2004-06-07,809.45
2004-06-08,809.31
2004-06-09,794.53
2004-06-10,782.3
2004-06-11,751.53
2004-06-14,738.79
2004-06-15,752.1
2004-06-16,752.34
2004-06-17,760.09
2004-06-18,741.73
2004-06-21,749.3
2004-06-22,746.48
2004-06-23,738.93
2004-06-24,763.13
2004-06-25,779.03
2004-06-28,770.95
2004-06-29,778.72
2004-06-30,785.79
2004-07-01,778.03
2004-07-02,755.42
2004-07-05,756.72
2004-07-06,758.47
2004-07-07,761.88
2004-07-08,743.64
2004-07-09,747.46
2004-07-12,746.27
2004-07-13,750.95
2004-07-14,736.57
2004-07-15,732.74
2004-07-16,739.39
2004-07-19,750.4
2004-07-20,737
2004-07-21,753.32
2004-07-22,742.63
2004-07-23,737.51
2004-07-26,736.21
2004-07-27,738.51
2004-07-28,744.42
2004-07-29,730.61
2004-07-30,735.34
2004-08-02,719.59
2004-08-03,726.44
2004-08-04,729.41
2004-08-05,743.35
2004-08-06,733.95
2004-08-09,742.13
2004-08-10,748.62
2004-08-11,753.06
2004-08-12,766.7
2004-08-13,776.02
2004-08-16,773.85
2004-08-17,771.03
2004-08-18,773.19
2004-08-19,788.53
2004-08-20,787.64
2004-08-23,787.65
2004-08-24,792.34
2004-08-25,803.97
2004-08-26,810.21
2004-08-27,810.3
2004-08-30,805.19
2004-08-31,803.57
2004-09-01,817.36
2004-09-02,823.83
2004-09-03,820.69
2004-09-06,824.21
2004-09-07,818.8
2004-09-08,815.85
2004-09-09,821.88
2004-09-10,836.34
2004-09-13,851.91
2004-09-14,851.42
2004-09-15,850.63
2004-09-16,855.38
2004-09-17,848.11
2004-09-20,856.87
2004-09-21,857.15
2004-09-22,835.1
2004-09-23,829.68
2004-09-24,832.1
2004-09-30,835.09
2004-10-01,846.01
2004-10-04,880.84
2004-10-05,884.84
2004-10-06,887.45
2004-10-07,885.33
2004-10-08,881.38
2004-10-11,881.11
2004-10-12,858.09
2004-10-13,856.18
2004-10-14,846.63
2004-10-15,841.94
2004-10-18,848.27
2004-10-19,855.77
2004-10-20,828.61
2004-10-21,820.63
2004-10-22,828.17
2004-10-25,808.14
2004-10-26,813.7
2004-10-27,809.91
2004-10-28,833.54
2004-10-29,834.84
2004-11-01,835.66
2004-11-02,846.67
2004-11-03,861.05
2004-11-04,851.2
2004-11-05,860.68
2004-11-08,846.11
2004-11-09,844.15
2004-11-10,860.54
2004-11-11,861.26
2004-11-12,876.67
2004-11-15,882.33
2004-11-16,876.61
2004-11-17,885.42
2004-11-18,875.84
2004-11-19,867.03
2004-11-22,849.99
2004-11-23,860.4
2004-11-24,872.56
2004-11-25,872.49
2004-11-26,858.12
2004-11-29,865.4
2004-11-30,878.06
2004-12-01,876.8
2004-12-02,884.1
2004-12-03,882.55
2004-12-06,870.75
2004-12-07,861.07
2004-12-08,871.74
2004-12-09,861.31
2004-12-10,844.85
2004-12-13,844.2
2004-12-14,849.4
2004-12-15,868.84
2004-12-16,873.7
2004-12-17,875.13
2004-12-20,884.31
2004-12-21,882.82
2004-12-22,883.38
2004-12-23,876.88
2004-12-24,879.92
2004-12-27,876.98
2004-12-28,878.43
2004-12-29,884.27
2004-12-30,895.92
2005-01-03,893.71
2005-01-04,886.9
2005-01-05,885.19
2005-01-06,871.28
2005-01-07,870.84
2005-01-10,874.18
2005-01-11,884.29
2005-01-12,880.03
2005-01-13,885.54
2005-01-14,905.1
2005-01-17,923.08
2005-01-18,920.57
2005-01-19,916.27
2005-01-20,909.37
2005-01-21,919.61
2005-01-24,923.11
2005-01-25,915.1
2005-01-26,927
2005-01-27,924.87
2005-01-28,921.59
2005-01-31,932.7
2005-02-01,923.69
2005-02-02,921.44
2005-02-03,928.79
2005-02-04,933.55
2005-02-07,949.19
2005-02-11,947.23
2005-02-14,964.79
2005-02-15,968.88
2005-02-16,971.56
2005-02-17,972.56
2005-02-18,984.1
2005-02-21,988.71
2005-02-22,977.8
2005-02-23,968.43
2005-02-24,987.1
2005-02-25,996.95
2005-02-28,"1,011.36"
2005-03-02,"1,007.48"
2005-03-03,"1,010.92"
2005-03-04,"1,012.96"
2005-03-07,"1,007.50"
2005-03-08,"1,000.28"
2005-03-09,"1,008.79"
