destination,date,passengers
MALAGA/COSTA DEL SOL,2014-09-01,1939
PALMA DE MALLORCA,2014-09-01,6033
NICE-COTE D'AZUR,2014-09-01,1786
PARIS-CHARLES DE GAULLE,2014-09-01,3004
MILANO/MALPENSA,2014-09-01,5351
ROMA/FIUMICINO,2014-09-01,1911
AGADIR/AL MASSIRA,2014-09-01,1412
AMSTERDAM/SCHIPHOL,2014-09-01,7119
PORTO,2014-09-01,5811
LISBOA,2014-09-01,7218
ENFIDHA-HAMMAMET INTERNATIONAL,2014-09-01,1295
DJERBA/ZARZIS,2014-09-01,2490
ANTALYA (MIL-CIV),2014-09-01,3159
ISTANBUL/ATATURK,2014-09-01,3499
LONDON GATWICK,2014-09-01,2718
LONDON/CITY,2014-09-01,7150
LONDON HEATHROW,2014-09-01,5778
WIEN-SCHWECHAT,2014-08-01,3280
GENEVA,2014-08-01,1055
ZURICH,2014-08-01,5447
FRANKFURT/MAIN,2014-08-01,5922
MUENCHEN,2014-08-01,5087
SAARBRUECKEN,2014-08-01,2200
BERLIN-TEGEL,2014-08-01,1279
KOBENHAVN/KASTRUP,2014-08-01,3135
IRAKLION/NIKOS KAZANTZAKIS,2014-08-01,2521
GRAN CANARIA,2014-08-01,1191
TENERIFE SUR/REINA SOFIA,2014-08-01,1516
BARCELONA/EL PRAT,2014-08-01,4249
ADOLFO SUAREZ MADRID-BARAJAS,2014-08-01,1061
MALAGA/COSTA DEL SOL,2014-08-01,2075
PALMA DE MALLORCA,2014-08-01,7325
NICE-COTE D'AZUR,2014-08-01,1901
PARIS-CHARLES DE GAULLE,2014-08-01,2913
MILANO/MALPENSA,2014-08-01,3728
ROMA/FIUMICINO,2014-08-01,1903
AGADIR/AL MASSIRA,2014-08-01,1243
AMSTERDAM/SCHIPHOL,2014-08-01,5390
PORTO,2014-08-01,8401
LISBOA,2014-08-01,6967
ENFIDHA-HAMMAMET INTERNATIONAL,2014-08-01,1616
DJERBA/ZARZIS,2014-08-01,3857
ANTALYA (MIL-CIV),2014-08-01,5014
ISTANBUL/ATATURK,2014-08-01,3492
LONDON GATWICK,2014-08-01,3624
LONDON/CITY,2014-08-01,5927
LONDON HEATHROW,2014-08-01,5835
WIEN-SCHWECHAT,2014-07-01,2818
GENEVA,2014-07-01,1818
ZURICH,2014-07-01,4618
FRANKFURT/MAIN,2014-07-01,4415
MUENCHEN,2014-07-01,5707
SAARBRUECKEN,2014-07-01,2129
BERLIN-TEGEL,2014-07-01,1234
KOBENHAVN/KASTRUP,2014-07-01,2521
IRAKLION/NIKOS KAZANTZAKIS,2014-07-01,1915
GRAN CANARIA,2014-07-01,1100
TENERIFE SUR/REINA SOFIA,2014-07-01,782
BARCELONA/EL PRAT,2014-07-01,2717
ADOLFO SUAREZ MADRID-BARAJAS,2014-07-01,1350
MALAGA/COSTA DEL SOL,2014-07-01,1480
PALMA DE MALLORCA,2014-07-01,5277
NICE-COTE D'AZUR,2014-07-01,1751
PARIS-CHARLES DE GAULLE,2014-07-01,2477
MILANO/MALPENSA,2014-07-01,4698
ROMA/FIUMICINO,2014-07-01,1544
AGADIR/AL MASSIRA,2014-07-01,904
AMSTERDAM/SCHIPHOL,2014-07-01,5111
PORTO,2014-07-01,4106
LISBOA,2014-07-01,4915
ENFIDHA-HAMMAMET INTERNATIONAL,2014-07-01,1328
DJERBA/ZARZIS,2014-07-01,3277
ANTALYA (MIL-CIV),2014-07-01,2711
ISTANBUL/ATATURK,2014-07-01,1786
LONDON GATWICK,2014-07-01,3599
LONDON/CITY,2014-07-01,6635
LONDON HEATHROW,2014-07-01,5531
WIEN-SCHWECHAT,2014-06-01,3922
GENEVA,2014-06-01,2527
ZURICH,2014-06-01,5563
FRANKFURT/MAIN,2014-06-01,4881
MUENCHEN,2014-06-01,6688
SAARBRUECKEN,2014-06-01,2466
BERLIN-TEGEL,2014-06-01,1353
KOBENHAVN/KASTRUP,2014-06-01,4867
IRAKLION/NIKOS KAZANTZAKIS,2014-06-01,1288
GRAN CANARIA,2014-06-01,1034
TENERIFE SUR/REINA SOFIA,2014-06-01,516
BARCELONA/EL PRAT,2014-06-01,3440
ADOLFO SUAREZ MADRID-BARAJAS,2014-06-01,1673
MALAGA/COSTA DEL SOL,2014-06-01,2284
PALMA DE MALLORCA,2014-06-01,5745
NICE-COTE D'AZUR,2014-06-01,1954
PARIS-CHARLES DE GAULLE,2014-06-01,2981
MILANO/MALPENSA,2014-06-01,5159
ROMA/FIUMICINO,2014-06-01,1768
AGADIR/AL MASSIRA,2014-06-01,989
AMSTERDAM/SCHIPHOL,2014-06-01,6348
PORTO,2014-06-01,4792
LISBOA,2014-06-01,6048
ENFIDHA-HAMMAMET INTERNATIONAL,2014-06-01,1236
DJERBA/ZARZIS,2014-06-01,1784
ANTALYA (MIL-CIV),2014-06-01,1493
ISTANBUL/ATATURK,2014-06-01,2645
LONDON GATWICK,2014-06-01,3477
LONDON/CITY,2014-06-01,7695
LONDON HEATHROW,2014-06-01,5638
WIEN-SCHWECHAT,2014-05-01,3781
GENEVA,2014-05-01,2368
ZURICH,2014-05-01,5550
FRANKFURT/MAIN,2014-05-01,5143
MUENCHEN,2014-05-01,6254
SAARBRUECKEN,2014-05-01,1952
BERLIN-TEGEL,2014-05-01,1499
KOBENHAVN/KASTRUP,2014-05-01,4259
IRAKLION/NIKOS KAZANTZAKIS,2014-05-01,1800
GRAN CANARIA,2014-05-01,1211
TENERIFE SUR/REINA SOFIA,2014-05-01,1063
BARCELONA/EL PRAT,2014-05-01,3153
ADOLFO SUAREZ MADRID-BARAJAS,2014-05-01,1590
MALAGA/COSTA DEL SOL,2014-05-01,2067
PALMA DE MALLORCA,2014-05-01,3943
NICE-COTE D'AZUR,2014-05-01,1774
PARIS-CHARLES DE GAULLE,2014-05-01,2637
MILANO/MALPENSA,2014-05-01,4632
ROMA/FIUMICINO,2014-05-01,2039
AGADIR/AL MASSIRA,2014-05-01,1401
AMSTERDAM/SCHIPHOL,2014-05-01,6056
PORTO,2014-05-01,5097
LISBOA,2014-05-01,6579
ENFIDHA-HAMMAMET INTERNATIONAL,2014-05-01,698
DJERBA/ZARZIS,2014-05-01,1513
ANTALYA (MIL-CIV),2014-05-01,1831
ISTANBUL/ATATURK,2014-05-01,2738
LONDON GATWICK,2014-05-01,3353
LONDON/CITY,2014-05-01,7719
LONDON HEATHROW,2014-05-01,5712
WIEN-SCHWECHAT,2014-04-01,3912
GENEVA,2014-04-01,2131
ZURICH,2014-04-01,5728
FRANKFURT/MAIN,2014-04-01,4770
MUENCHEN,2014-04-01,5553
SAARBRUECKEN,2014-04-01,2160
BERLIN-TEGEL,2014-04-01,1135
KOBENHAVN/KASTRUP,2014-04-01,4087
IRAKLION/NIKOS KAZANTZAKIS,2014-04-01,248
GRAN CANARIA,2014-04-01,1271
TENERIFE SUR/REINA SOFIA,2014-04-01,1663
BARCELONA/EL PRAT,2014-04-01,2831
ADOLFO SUAREZ MADRID-BARAJAS,2014-04-01,1723
MALAGA/COSTA DEL SOL,2014-04-01,1497
PALMA DE MALLORCA,2014-04-01,1818
NICE-COTE D'AZUR,2014-04-01,1621
PARIS-CHARLES DE GAULLE,2014-04-01,3087
MILANO/MALPENSA,2014-04-01,4828
ROMA/FIUMICINO,2014-04-01,1868
AGADIR/AL MASSIRA,2014-04-01,1079
AMSTERDAM/SCHIPHOL,2014-04-01,5532
PORTO,2014-04-01,5251
LISBOA,2014-04-01,6397
ENFIDHA-HAMMAMET INTERNATIONAL,2014-04-01,985
DJERBA/ZARZIS,2014-04-01,1363
ANTALYA (MIL-CIV),2014-04-01,1492
ISTANBUL/ATATURK,2014-04-01,2891
LONDON GATWICK,2014-04-01,3287
LONDON/CITY,2014-04-01,7749
LONDON HEATHROW,2014-04-01,5419
WIEN-SCHWECHAT,2014-03-01,3248
GENEVA,2014-03-01,2651
ZURICH,2014-03-01,5493
FRANKFURT/MAIN,2014-03-01,4938
MUENCHEN,2014-03-01,5956
SAARBRUECKEN,2014-03-01,1926
BERLIN-TEGEL,2014-03-01,1049
KOBENHAVN/KASTRUP,2014-03-01,3333
GRAN CANARIA,2014-03-01,1322
TENERIFE SUR/REINA SOFIA,2014-03-01,1860
BARCELONA/EL PRAT,2014-03-01,1468
ADOLFO SUAREZ MADRID-BARAJAS,2014-03-01,1536
MALAGA/COSTA DEL SOL,2014-03-01,738
PALMA DE MALLORCA,2014-03-01,541
NICE-COTE D'AZUR,2014-03-01,1588
PARIS-CHARLES DE GAULLE,2014-03-01,2774
MILANO/MALPENSA,2014-03-01,5186
ROMA/FIUMICINO,2014-03-01,1842
AGADIR/AL MASSIRA,2014-03-01,1255
AMSTERDAM/SCHIPHOL,2014-03-01,6225
PORTO,2014-03-01,4258
LISBOA,2014-03-01,5134
ENFIDHA-HAMMAMET INTERNATIONAL,2014-03-01,1127
DJERBA/ZARZIS,2014-03-01,768
ISTANBUL/ATATURK,2014-03-01,1905
LONDON GATWICK,2014-03-01,2529
LONDON/CITY,2014-03-01,8661
LONDON HEATHROW,2014-03-01,5826
WIEN-SCHWECHAT,2014-02-01,2395
GENEVA,2014-02-01,2089
ZURICH,2014-02-01,4167
FRANKFURT/MAIN,2014-02-01,3941
MUENCHEN,2014-02-01,5133
SAARBRUECKEN,2014-02-01,1628
BERLIN-TEGEL,2014-02-01,954
KOBENHAVN/KASTRUP,2014-02-01,2630
GRAN CANARIA,2014-02-01,1097
TENERIFE SUR/REINA SOFIA,2014-02-01,1164
BARCELONA/EL PRAT,2014-02-01,1087
ADOLFO SUAREZ MADRID-BARAJAS,2014-02-01,1239
MALAGA/COSTA DEL SOL,2014-02-01,406
PALMA DE MALLORCA,2014-02-01,111
NICE-COTE D'AZUR,2014-02-01,1024
PARIS-CHARLES DE GAULLE,2014-02-01,2342
MILANO/MALPENSA,2014-02-01,3932
ROMA/FIUMICINO,2014-02-01,1189
AGADIR/AL MASSIRA,2014-02-01,502
AMSTERDAM/SCHIPHOL,2014-02-01,4353
PORTO,2014-02-01,3433
LISBOA,2014-02-01,4163
ENFIDHA-HAMMAMET INTERNATIONAL,2014-02-01,462
DJERBA/ZARZIS,2014-02-01,288
ANTALYA (MIL-CIV),2014-02-01,0
ISTANBUL/ATATURK,2014-02-01,1281
LONDON GATWICK,2014-02-01,2146
LONDON/CITY,2014-02-01,7268
LONDON HEATHROW,2014-02-01,3948
WIEN-SCHWECHAT,2014-01-01,2510
GENEVA,2014-01-01,2012
ZURICH,2014-01-01,4413
FRANKFURT/MAIN,2014-01-01,4590
MUENCHEN,2014-01-01,4954
SAARBRUECKEN,2014-01-01,1611
BERLIN-TEGEL,2014-01-01,832
KOBENHAVN/KASTRUP,2014-01-01,2507
GRAN CANARIA,2014-01-01,1280
TENERIFE SUR/REINA SOFIA,2014-01-01,1541
BARCELONA/EL PRAT,2014-01-01,1046
ADOLFO SUAREZ MADRID-BARAJAS,2014-01-01,1637
MALAGA/COSTA DEL SOL,2014-01-01,512
NICE-COTE D'AZUR,2014-01-01,1159
PARIS-CHARLES DE GAULLE,2014-01-01,2659
MILANO/MALPENSA,2014-01-01,3986
ROMA/FIUMICINO,2014-01-01,1085
AGADIR/AL MASSIRA,2014-01-01,709
AMSTERDAM/SCHIPHOL,2014-01-01,4521
PORTO,2014-01-01,5161
LISBOA,2014-01-01,4529
ENFIDHA-HAMMAMET INTERNATIONAL,2014-01-01,481
DJERBA/ZARZIS,2014-01-01,313
ISTANBUL/ATATURK,2014-01-01,1860
LONDON GATWICK,2014-01-01,2213
LONDON/CITY,2014-01-01,6797
LONDON HEATHROW,2014-01-01,3862
WIEN-SCHWECHAT,2013-12-01,2753
GENEVA,2013-12-01,1833
ZURICH,2013-12-01,4608
FRANKFURT/MAIN,2013-12-01,4123
MUENCHEN,2013-12-01,5050
SAARBRUECKEN,2013-12-01,1652
KOBENHAVN/KASTRUP,2013-12-01,2744
FUERTEVENTURA,2013-12-01,564
GRAN CANARIA,2013-12-01,1025
TENERIFE SUR/REINA SOFIA,2013-12-01,888
BARCELONA/EL PRAT,2013-12-01,975
ADOLFO SUAREZ MADRID-BARAJAS,2013-12-01,1226
MALAGA/COSTA DEL SOL,2013-12-01,347
NICE-COTE D'AZUR,2013-12-01,1163
PARIS-CHARLES DE GAULLE,2013-12-01,2551
MILANO/MALPENSA,2013-12-01,3617
ROMA/FIUMICINO,2013-12-01,1173
AGADIR/AL MASSIRA,2013-12-01,370
AMSTERDAM/SCHIPHOL,2013-12-01,4872
PORTO,2013-12-01,5134
LISBOA,2013-12-01,3818
ENFIDHA-HAMMAMET INTERNATIONAL,2013-12-01,422
DJERBA/ZARZIS,2013-12-01,356
ISTANBUL/ATATURK,2013-12-01,1324
LONDON GATWICK,2013-12-01,3210
LONDON/CITY,2013-12-01,6326
LONDON HEATHROW,2013-12-01,5065
WIEN-SCHWECHAT,2013-11-01,3036
GENEVA,2013-11-01,2430
ZURICH,2013-11-01,5024
FRANKFURT/MAIN,2013-11-01,5215
MUENCHEN,2013-11-01,6282
SAARBRUECKEN,2013-11-01,1938
KOBENHAVN/KASTRUP,2013-11-01,3239
FUERTEVENTURA,2013-11-01,905
GRAN CANARIA,2013-11-01,1302
TENERIFE SUR/REINA SOFIA,2013-11-01,1410
BARCELONA/EL PRAT,2013-11-01,1535
ADOLFO SUAREZ MADRID-BARAJAS,2013-11-01,1457
MALAGA/COSTA DEL SOL,2013-11-01,553
PALMA DE MALLORCA,2013-11-01,457
NICE-COTE D'AZUR,2013-11-01,1283
PARIS-CHARLES DE GAULLE,2013-11-01,2840
MILANO/MALPENSA,2013-11-01,4427
ROMA/FIUMICINO,2013-11-01,1328
AGADIR/AL MASSIRA,2013-11-01,844
AMSTERDAM/SCHIPHOL,2013-11-01,5118
PORTO,2013-11-01,3420
LISBOA,2013-11-01,2577
ENFIDHA-HAMMAMET INTERNATIONAL,2013-11-01,572
DJERBA/ZARZIS,2013-11-01,1073
ANTALYA (MIL-CIV),2013-11-01,964
ISTANBUL/ATATURK,2013-11-01,1932
LONDON GATWICK,2013-11-01,2877
LONDON/CITY,2013-11-01,8009
LONDON HEATHROW,2013-11-01,4999
WIEN-SCHWECHAT,2013-10-01,3345
GENEVA,2013-10-01,2349
ZURICH,2013-10-01,4653
FRANKFURT/MAIN,2013-10-01,4936
MUENCHEN,2013-10-01,6752
SAARBRUECKEN,2013-10-01,2115
KOBENHAVN/KASTRUP,2013-10-01,3492
FUERTEVENTURA,2013-10-01,1152
GRAN CANARIA,2013-10-01,1319
TENERIFE SUR/REINA SOFIA,2013-10-01,1421
BARCELONA/EL PRAT,2013-10-01,2493
ADOLFO SUAREZ MADRID-BARAJAS,2013-10-01,1609
MALAGA/COSTA DEL SOL,2013-10-01,1477
PALMA DE MALLORCA,2013-10-01,3262
NICE-COTE D'AZUR,2013-10-01,1482
PARIS-CHARLES DE GAULLE,2013-10-01,2660
MILANO/MALPENSA,2013-10-01,4608
ROMA/FIUMICINO,2013-10-01,1813
AGADIR/AL MASSIRA,2013-10-01,1067
AMSTERDAM/SCHIPHOL,2013-10-01,5507
PORTO,2013-10-01,3626
LISBOA,2013-10-01,2571
ENFIDHA-HAMMAMET INTERNATIONAL,2013-10-01,1419
DJERBA/ZARZIS,2013-10-01,1622
ANTALYA (MIL-CIV),2013-10-01,2117
ISTANBUL/ATATURK,2013-10-01,2355
LONDON GATWICK,2013-10-01,3059
LONDON/CITY,2013-10-01,8198
LONDON HEATHROW,2013-10-01,5216
WIEN-SCHWECHAT,2013-09-01,3033
GENEVA,2013-09-01,2264
ZURICH,2013-09-01,5485
FRANKFURT/MAIN,2013-09-01,5850
MUENCHEN,2013-09-01,7107
SAARBRUECKEN,2013-09-01,2313
KOBENHAVN/KASTRUP,2013-09-01,3603
FUERTEVENTURA,2013-09-01,1214
GRAN CANARIA,2013-09-01,1021
TENERIFE SUR/REINA SOFIA,2013-09-01,1220
BARCELONA/EL PRAT,2013-09-01,3410
ADOLFO SUAREZ MADRID-BARAJAS,2013-09-01,1627
MALAGA/COSTA DEL SOL,2013-09-01,1711
PALMA DE MALLORCA,2013-09-01,6379
NICE-COTE D'AZUR,2013-09-01,1868
PARIS-CHARLES DE GAULLE,2013-09-01,3274
MILANO/MALPENSA,2013-09-01,4768
ROMA/FIUMICINO,2013-09-01,1999
AGADIR/AL MASSIRA,2013-09-01,1139
AMSTERDAM/SCHIPHOL,2013-09-01,6137
PORTO,2013-09-01,5010
LISBOA,2013-09-01,3356
ENFIDHA-HAMMAMET INTERNATIONAL,2013-09-01,1791
DJERBA/ZARZIS,2013-09-01,1816
ANTALYA (MIL-CIV),2013-09-01,2895
ISTANBUL/ATATURK,2013-09-01,2263
LONDON GATWICK,2013-09-01,2955
LONDON/CITY,2013-09-01,7452
LONDON HEATHROW,2013-09-01,5459
WIEN-SCHWECHAT,2013-08-01,2755
GENEVA,2013-08-01,1176
ZURICH,2013-08-01,4657
FRANKFURT/MAIN,2013-08-01,6006
MUENCHEN,2013-08-01,5583
SAARBRUECKEN,2013-08-01,2248
KOBENHAVN/KASTRUP,2013-08-01,2553
FUERTEVENTURA,2013-08-01,1185
GRAN CANARIA,2013-08-01,1222
TENERIFE SUR/REINA SOFIA,2013-08-01,1644
BARCELONA/EL PRAT,2013-08-01,4361
ADOLFO SUAREZ MADRID-BARAJAS,2013-08-01,1051
MALAGA/COSTA DEL SOL,2013-08-01,1897
PALMA DE MALLORCA,2013-08-01,7808
NICE-COTE D'AZUR,2013-08-01,2002
PARIS-CHARLES DE GAULLE,2013-08-01,2726
MILANO/MALPENSA,2013-08-01,3403
ROMA/FIUMICINO,2013-08-01,1864
AGADIR/AL MASSIRA,2013-08-01,1099
AMSTERDAM/SCHIPHOL,2013-08-01,4941
PORTO,2013-08-01,7335
LISBOA,2013-08-01,3026
ENFIDHA-HAMMAMET INTERNATIONAL,2013-08-01,1620
DJERBA/ZARZIS,2013-08-01,3546
ANTALYA (MIL-CIV),2013-08-01,4445
ISTANBUL/ATATURK,2013-08-01,2102
LONDON GATWICK,2013-08-01,3546
LONDON/CITY,2013-08-01,6381
LONDON HEATHROW,2013-08-01,5639
WIEN-SCHWECHAT,2013-07-01,2592
GENEVA,2013-07-01,1828
ZURICH,2013-07-01,4671
FRANKFURT/MAIN,2013-07-01,4474
MUENCHEN,2013-07-01,5513
SAARBRUECKEN,2013-07-01,2299
KOBENHAVN/KASTRUP,2013-07-01,1986
FUERTEVENTURA,2013-07-01,851
GRAN CANARIA,2013-07-01,1033
TENERIFE SUR/REINA SOFIA,2013-07-01,1176
BARCELONA/EL PRAT,2013-07-01,3073
ADOLFO SUAREZ MADRID-BARAJAS,2013-07-01,1378
MALAGA/COSTA DEL SOL,2013-07-01,1830
PALMA DE MALLORCA,2013-07-01,5999
NICE-COTE D'AZUR,2013-07-01,1735
PARIS-CHARLES DE GAULLE,2013-07-01,2535
MILANO/MALPENSA,2013-07-01,4181
ROMA/FIUMICINO,2013-07-01,1612
AGADIR/AL MASSIRA,2013-07-01,918
AMSTERDAM/SCHIPHOL,2013-07-01,4804
PORTO,2013-07-01,3442
LISBOA,2013-07-01,2196
ENFIDHA-HAMMAMET INTERNATIONAL,2013-07-01,1183
DJERBA/ZARZIS,2013-07-01,3187
ANTALYA (MIL-CIV),2013-07-01,3183
ISTANBUL/ATATURK,2013-07-01,1113
LONDON GATWICK,2013-07-01,3223
LONDON/CITY,2013-07-01,7477
LONDON HEATHROW,2013-07-01,5428
WIEN-SCHWECHAT,2013-06-01,3012
GENEVA,2013-06-01,2213
ZURICH,2013-06-01,5248
FRANKFURT/MAIN,2013-06-01,5293
MUENCHEN,2013-06-01,6463
SAARBRUECKEN,2013-06-01,2722
KOBENHAVN/KASTRUP,2013-06-01,3442
FUERTEVENTURA,2013-06-01,1084
GRAN CANARIA,2013-06-01,1167
TENERIFE SUR/REINA SOFIA,2013-06-01,671
BARCELONA/EL PRAT,2013-06-01,3091
ADOLFO SUAREZ MADRID-BARAJAS,2013-06-01,1401
MALAGA/COSTA DEL SOL,2013-06-01,1779
PALMA DE MALLORCA,2013-06-01,5087
NICE-COTE D'AZUR,2013-06-01,2001
PARIS-CHARLES DE GAULLE,2013-06-01,2659
MILANO/MALPENSA,2013-06-01,4205
ROMA/FIUMICINO,2013-06-01,1635
AGADIR/AL MASSIRA,2013-06-01,874
AMSTERDAM/SCHIPHOL,2013-06-01,6036
PORTO,2013-06-01,3199
LISBOA,2013-06-01,2551
ENFIDHA-HAMMAMET INTERNATIONAL,2013-06-01,1633
DJERBA/ZARZIS,2013-06-01,856
ANTALYA (MIL-CIV),2013-06-01,1146
ISTANBUL/ATATURK,2013-06-01,313
LONDON GATWICK,2013-06-01,2692
LONDON/CITY,2013-06-01,7712
LONDON HEATHROW,2013-06-01,5120
WIEN-SCHWECHAT,2013-05-01,3222
GENEVA,2013-05-01,2141
ZURICH,2013-05-01,5370
FRANKFURT/MAIN,2013-05-01,5122
MUENCHEN,2013-05-01,6214
SAARBRUECKEN,2013-05-01,3205
KOBENHAVN/KASTRUP,2013-05-01,2515
FUERTEVENTURA,2013-05-01,951
GRAN CANARIA,2013-05-01,1349
TENERIFE SUR/REINA SOFIA,2013-05-01,829
BARCELONA/EL PRAT,2013-05-01,2560
ADOLFO SUAREZ MADRID-BARAJAS,2013-05-01,1623
MALAGA/COSTA DEL SOL,2013-05-01,1669
PALMA DE MALLORCA,2013-05-01,4150
NICE-COTE D'AZUR,2013-05-01,1955
PARIS-CHARLES DE GAULLE,2013-05-01,2656
MILANO/MALPENSA,2013-05-01,3902
ROMA/FIUMICINO,2013-05-01,2132
AGADIR/AL MASSIRA,2013-05-01,1262
AMSTERDAM/SCHIPHOL,2013-05-01,5554
PORTO,2013-05-01,3654
LISBOA,2013-05-01,2847
ENFIDHA-HAMMAMET INTERNATIONAL,2013-05-01,1347
DJERBA/ZARZIS,2013-05-01,1022
ANTALYA (MIL-CIV),2013-05-01,1476
LONDON GATWICK,2013-05-01,2871
LONDON/CITY,2013-05-01,8703
LONDON HEATHROW,2013-05-01,5620
WIEN-SCHWECHAT,2013-04-01,3060
GENEVA,2013-04-01,2196
ZURICH,2013-04-01,5549
FRANKFURT/MAIN,2013-04-01,4884
MUENCHEN,2013-04-01,6552
SAARBRUECKEN,2013-04-01,2740
KOBENHAVN/KASTRUP,2013-04-01,2401
FUERTEVENTURA,2013-04-01,1150
GRAN CANARIA,2013-04-01,902
TENERIFE SUR/REINA SOFIA,2013-04-01,1422
BARCELONA/EL PRAT,2013-04-01,1847
ADOLFO SUAREZ MADRID-BARAJAS,2013-04-01,1615
MALAGA/COSTA DEL SOL,2013-04-01,1055
PALMA DE MALLORCA,2013-04-01,1758
NICE-COTE D'AZUR,2013-04-01,1572
PARIS-CHARLES DE GAULLE,2013-04-01,3053
MILANO/MALPENSA,2013-04-01,4015
ROMA/FIUMICINO,2013-04-01,1912
AGADIR/AL MASSIRA,2013-04-01,1355
AMSTERDAM/SCHIPHOL,2013-04-01,5763
PORTO,2013-04-01,3855
LISBOA,2013-04-01,2598
ENFIDHA-HAMMAMET INTERNATIONAL,2013-04-01,1027
DJERBA/ZARZIS,2013-04-01,862
ANTALYA (MIL-CIV),2013-04-01,1040
LONDON GATWICK,2013-04-01,2627
LONDON/CITY,2013-04-01,7972
LONDON HEATHROW,2013-04-01,4937
WIEN-SCHWECHAT,2013-03-01,2580
GENEVA,2013-03-01,2495
ZURICH,2013-03-01,4845
FRANKFURT/MAIN,2013-03-01,4280
MUENCHEN,2013-03-01,6459
SAARBRUECKEN,2013-03-01,2326
KOBENHAVN/KASTRUP,2013-03-01,2326
FUERTEVENTURA,2013-03-01,978
GRAN CANARIA,2013-03-01,1029
TENERIFE SUR/REINA SOFIA,2013-03-01,1542
BARCELONA/EL PRAT,2013-03-01,1350
ADOLFO SUAREZ MADRID-BARAJAS,2013-03-01,1215
MALAGA/COSTA DEL SOL,2013-03-01,702
PALMA DE MALLORCA,2013-03-01,856
NICE-COTE D'AZUR,2013-03-01,1408
PARIS-CHARLES DE GAULLE,2013-03-01,2256
MILANO/MALPENSA,2013-03-01,3511
ROMA/FIUMICINO,2013-03-01,1475
AGADIR/AL MASSIRA,2013-03-01,1259
AMSTERDAM/SCHIPHOL,2013-03-01,5199
PORTO,2013-03-01,3503
LISBOA,2013-03-01,2470
ENFIDHA-HAMMAMET INTERNATIONAL,2013-03-01,924
DJERBA/ZARZIS,2013-03-01,709
ANTALYA (MIL-CIV),2013-03-01,0
LONDON GATWICK,2013-03-01,2293
LONDON/CITY,2013-03-01,7592
LONDON HEATHROW,2013-03-01,5323
WIEN-SCHWECHAT,2013-02-01,2143
GENEVA,2013-02-01,1958
ZURICH,2013-02-01,4192
FRANKFURT/MAIN,2013-02-01,3294
MUENCHEN,2013-02-01,5357
SAARBRUECKEN,2013-02-01,1831
KOBENHAVN/KASTRUP,2013-02-01,1647
FUERTEVENTURA,2013-02-01,513
GRAN CANARIA,2013-02-01,956
TENERIFE SUR/REINA SOFIA,2013-02-01,1428
BARCELONA/EL PRAT,2013-02-01,1143
ADOLFO SUAREZ MADRID-BARAJAS,2013-02-01,1111
MALAGA/COSTA DEL SOL,2013-02-01,332
PALMA DE MALLORCA,2013-02-01,146
NICE-COTE D'AZUR,2013-02-01,970
PARIS-CHARLES DE GAULLE,2013-02-01,1997
MILANO/MALPENSA,2013-02-01,1705
ROMA/FIUMICINO,2013-02-01,1053
AGADIR/AL MASSIRA,2013-02-01,808
AMSTERDAM/SCHIPHOL,2013-02-01,3861
PORTO,2013-02-01,2956
LISBOA,2013-02-01,2036
ENFIDHA-HAMMAMET INTERNATIONAL,2013-02-01,551
DJERBA/ZARZIS,2013-02-01,373
LONDON GATWICK,2013-02-01,1944
LONDON/CITY,2013-02-01,6135
LONDON HEATHROW,2013-02-01,4065
WIEN-SCHWECHAT,2013-01-01,2108
GENEVA,2013-01-01,1967
ZURICH,2013-01-01,4557
FRANKFURT/MAIN,2013-01-01,4257
MUENCHEN,2013-01-01,5474
SAARBRUECKEN,2013-01-01,1686
KOBENHAVN/KASTRUP,2013-01-01,1551
FUERTEVENTURA,2013-01-01,516
GRAN CANARIA,2013-01-01,1578
TENERIFE SUR/REINA SOFIA,2013-01-01,1048
BARCELONA/EL PRAT,2013-01-01,987
ADOLFO SUAREZ MADRID-BARAJAS,2013-01-01,1385
MALAGA/COSTA DEL SOL,2013-01-01,283
NICE-COTE D'AZUR,2013-01-01,965
PARIS-CHARLES DE GAULLE,2013-01-01,2584
MILANO/MALPENSA,2013-01-01,1862
ROMA/FIUMICINO,2013-01-01,1097
AGADIR/AL MASSIRA,2013-01-01,518
AMSTERDAM/SCHIPHOL,2013-01-01,4013
PORTO,2013-01-01,4735
LISBOA,2013-01-01,2745
ENFIDHA-HAMMAMET INTERNATIONAL,2013-01-01,519
DJERBA/ZARZIS,2013-01-01,183
LONDON GATWICK,2013-01-01,1725
LONDON/CITY,2013-01-01,5621
LONDON HEATHROW,2013-01-01,3894
WIEN-SCHWECHAT,2012-12-01,2346
GENEVA,2012-12-01,1832
ZURICH,2012-12-01,4299
FRANKFURT/MAIN,2012-12-01,3945
MUENCHEN,2012-12-01,5689
SAARBRUECKEN,2012-12-01,1453
KOBENHAVN/KASTRUP,2012-12-01,2123
FUERTEVENTURA,2012-12-01,476
GRAN CANARIA,2012-12-01,1264
TENERIFE SUR/REINA SOFIA,2012-12-01,471
BARCELONA/EL PRAT,2012-12-01,824
ADOLFO SUAREZ MADRID-BARAJAS,2012-12-01,1016
MALAGA/COSTA DEL SOL,2012-12-01,226
NICE-COTE D'AZUR,2012-12-01,987
PARIS-CHARLES DE GAULLE,2012-12-01,2126
MILANO/MALPENSA,2012-12-01,1636
ROMA/FIUMICINO,2012-12-01,1121
